         37994448 function calls (37476797 primitive calls) in 57.476 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.090    0.090 codeprinter.py:1(<module>)
     5001    0.011    0.000    0.090    0.000 fromnumeric.py:51(_wrapfunc)
   341597    0.090    0.000    0.090    0.000 {method 'startswith' of 'str' objects}
      234    0.089    0.000    0.089    0.000 {method 'copy_' of 'torch._C.StorageBase' objects}
      158    0.010    0.000    0.089    0.001 library.py:129(define)
     7579    0.030    0.000    0.089    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
        1    0.000    0.000    0.088    0.088 audio.py:1(<module>)
        1    0.000    0.000    0.087    0.087 wandb_init.py:171(maybe_login)
        6    0.000    0.000    0.087    0.015 wandb_setup.py:286(settings)
        1    0.000    0.000    0.087    0.087 wandb_setup.py:191(_load_settings)
150860/150721    0.077    0.000    0.087    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.086    0.086 media.py:1(<module>)
        1    0.000    0.000    0.086    0.086 wandb_settings.py:1916(update_from_system_environment)
   444246    0.085    0.000    0.086    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.085    0.085 wb_value.py:1(<module>)
        1    0.000    0.000    0.085    0.085 wandb_settings.py:2220(_setup_code_paths)
        1    0.000    0.000    0.085    0.085 wandb_settings.py:2227(_infer_code_path_for_program)
        1    0.000    0.000    0.085    0.085 wandb_setup.py:1(<module>)
    44644    0.085    0.000    0.085    0.000 {built-in method posix.lstat}
     3826    0.009    0.000    0.082    0.000 typing.py:892(__init__)
      965    0.005    0.000    0.082    0.000 __init__.py:811(read_text)
    73978    0.044    0.000    0.081    0.000 pathlib.py:429(_format_parsed_parts)
   344515    0.081    0.000    0.081    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.081    0.081 _jit_internal.py:1(<module>)
        1    0.000    0.000    0.081    0.081 map.py:1(<module>)
     3418    0.002    0.000    0.080    0.000 _typing_extra.py:439(eval_type_backport)
